#	813/245/076	813/725/046	140/732/685
1	1		1		1
2	3		3		3
3	7		7		7
4	15		15		15
5	31		31		31
6	51		51		51
7	90		90		90
8	25		149		150
9	37		254		259
10	54		345		113
11	81		421		195
12	105		518		293
13	168		728		401
14	216		678		400
15	328		1133		652
16	1374		1991		886
17	2121		2786		1443
18	729		1954		1897
19	1218		3240		3575
20	1601		4350		2211
21	1198		5496		7437
22	2634		6315		1740
23	4993		11053		6267
24	3881		8031		4214
25	6723		20441		11494
26	2071		15074		15681
27	5401		10796		26151
28	1206		16233		2081
29	1958		33526		22471
